NAME,total_population,median_household_income,state,county,tract,GEOID,city
Census Tract 2406; Harris County; Texas,3638,31816,48,201,240600,48201240600,Houston
Census Tract 2407.03; Harris County; Texas,5784,65445,48,201,240703,48201240703,Houston
Census Tract 2407.04; Harris County; Texas,4348,106667,48,201,240704,48201240704,Houston
Census Tract 2407.05; Harris County; Texas,4625,96084,48,201,240705,48201240705,Houston
Census Tract 2407.06; Harris County; Texas,10532,67205,48,201,240706,48201240706,Houston
Census Tract 2407.07; Harris County; Texas,5206,90380,48,201,240707,48201240707,Houston
Census Tract 2408.02; Harris County; Texas,8670,70891,48,201,240802,48201240802,Houston
Census Tract 2408.03; Harris County; Texas,2912,48844,48,201,240803,48201240803,Houston
Census Tract 2408.04; Harris County; Texas,2895,47566,48,201,240804,48201240804,Houston
Census Tract 2409.03; Harris County; Texas,6429,86797,48,201,240903,48201240903,Houston
Census Tract 2409.04; Harris County; Texas,9548,77576,48,201,240904,48201240904,Houston
Census Tract 2409.05; Harris County; Texas,5379,85000,48,201,240905,48201240905,Houston
Census Tract 2409.06; Harris County; Texas,8096,94133,48,201,240906,48201240906,Houston
Census Tract 2410.01; Harris County; Texas,3982,73566,48,201,241001,48201241001,Houston
Census Tract 2410.02; Harris County; Texas,5316,78694,48,201,241002,48201241002,Houston
Census Tract 2411.01; Harris County; Texas,4847,79728,48,201,241101,48201241101,Houston
Census Tract 2411.03; Harris County; Texas,4606,88482,48,201,241103,48201241103,Houston
Census Tract 2411.04; Harris County; Texas,9851,92278,48,201,241104,48201241104,Houston
Census Tract 2411.05; Harris County; Texas,5832,80313,48,201,241105,48201241105,Houston
Census Tract 2412.01; Harris County; Texas,3234,72983,48,201,241201,48201241201,Houston
Census Tract 2412.02; Harris County; Texas,6642,75765,48,201,241202,48201241202,Houston
Census Tract 2413.01; Harris County; Texas,4770,120833,48,201,241301,48201241301,Houston
Census Tract 2413.02; Harris County; Texas,8665,107137,48,201,241302,48201241302,Houston
Census Tract 2414; Harris County; Texas,10453,93777,48,201,241400,48201241400,Houston
Census Tract 2415.01; Harris County; Texas,4045,41771,48,201,241501,48201241501,Houston
Census Tract 2415.02; Harris County; Texas,2281,29821,48,201,241502,48201241502,Houston
Census Tract 2415.03; Harris County; Texas,2570,51076,48,201,241503,48201241503,Houston
Census Tract 2501.01; Harris County; Texas,4189,66559,48,201,250101,48201250101,Houston
Census Tract 2501.02; Harris County; Texas,5488,87426,48,201,250102,48201250102,Houston
Census Tract 2502.01; Harris County; Texas,6456,60470,48,201,250201,48201250201,Houston
Census Tract 2502.02; Harris County; Texas,2378,73611,48,201,250202,48201250202,Houston
Census Tract 2503.03; Harris County; Texas,3313,130842,48,201,250303,48201250303,Houston
Census Tract 2503.04; Harris County; Texas,10195,92729,48,201,250304,48201250304,Houston
Census Tract 2503.05; Harris County; Texas,5494,90000,48,201,250305,48201250305,Houston
Census Tract 2503.06; Harris County; Texas,3415,76917,48,201,250306,48201250306,Houston
Census Tract 2504.03; Harris County; Texas,4149,62193,48,201,250403,48201250403,Houston
