NAME,poverty_universe,below_poverty_count,state,county,tract,GEOID,city
Census Tract 1042.03; Maricopa County; Arizona,7369,459,04,013,104203,04013104203,Phoenix
Census Tract 1042.04; Maricopa County; Arizona,2967,520,04,013,104204,04013104204,Phoenix
Census Tract 1042.05; Maricopa County; Arizona,6882,1188,04,013,104205,04013104205,Phoenix
Census Tract 1042.06; Maricopa County; Arizona,3958,642,04,013,104206,04013104206,Phoenix
Census Tract 1042.07; Maricopa County; Arizona,4402,267,04,013,104207,04013104207,Phoenix
Census Tract 1042.12; Maricopa County; Arizona,6354,688,04,013,104212,04013104212,Phoenix
Census Tract 1042.14; Maricopa County; Arizona,2304,459,04,013,104214,04013104214,Phoenix
Census Tract 1042.15; Maricopa County; Arizona,4243,245,04,013,104215,04013104215,Phoenix
Census Tract 1042.16; Maricopa County; Arizona,4589,568,04,013,104216,04013104216,Phoenix
Census Tract 1042.17; Maricopa County; Arizona,4686,315,04,013,104217,04013104217,Phoenix
Census Tract 1042.18; Maricopa County; Arizona,3813,362,04,013,104218,04013104218,Phoenix
Census Tract 1042.19; Maricopa County; Arizona,3370,497,04,013,104219,04013104219,Phoenix
Census Tract 1042.21; Maricopa County; Arizona,5397,248,04,013,104221,04013104221,Phoenix
Census Tract 1042.22; Maricopa County; Arizona,6887,659,04,013,104222,04013104222,Phoenix
Census Tract 1042.23; Maricopa County; Arizona,2175,78,04,013,104223,04013104223,Phoenix
Census Tract 1042.24; Maricopa County; Arizona,6266,615,04,013,104224,04013104224,Phoenix
Census Tract 1042.25; Maricopa County; Arizona,3795,228,04,013,104225,04013104225,Phoenix
Census Tract 1042.26; Maricopa County; Arizona,4514,871,04,013,104226,04013104226,Phoenix
Census Tract 1042.27; Maricopa County; Arizona,1956,319,04,013,104227,04013104227,Phoenix
Census Tract 1043.01; Maricopa County; Arizona,3922,366,04,013,104301,04013104301,Phoenix
Census Tract 1043.02; Maricopa County; Arizona,3846,825,04,013,104302,04013104302,Phoenix
Census Tract 1044.01; Maricopa County; Arizona,5563,1341,04,013,104401,04013104401,Phoenix
Census Tract 1044.02; Maricopa County; Arizona,2435,305,04,013,104402,04013104402,Phoenix
Census Tract 1045.01; Maricopa County; Arizona,4067,934,04,013,104501,04013104501,Phoenix
Census Tract 1045.02; Maricopa County; Arizona,5346,1045,04,013,104502,04013104502,Phoenix
Census Tract 1046; Maricopa County; Arizona,3790,786,04,013,104600,04013104600,Phoenix
Census Tract 1047.01; Maricopa County; Arizona,2727,639,04,013,104701,04013104701,Phoenix
Census Tract 1047.02; Maricopa County; Arizona,3662,770,04,013,104702,04013104702,Phoenix
Census Tract 1048.01; Maricopa County; Arizona,3967,287,04,013,104801,04013104801,Phoenix
Census Tract 1048.02; Maricopa County; Arizona,5446,833,04,013,104802,04013104802,Phoenix
Census Tract 1049; Maricopa County; Arizona,4281,124,04,013,104900,04013104900,Phoenix
Census Tract 1050.02; Maricopa County; Arizona,2450,359,04,013,105002,04013105002,Phoenix
Census Tract 1050.03; Maricopa County; Arizona,4172,154,04,013,105003,04013105003,Phoenix
