NAME,poverty_universe,below_poverty_count,state,county,tract,GEOID,city
Census Tract 2501.01; Harris County; Texas,4189,360,48,201,250101,48201250101,Houston
Census Tract 2501.02; Harris County; Texas,5370,25,48,201,250102,48201250102,Houston
Census Tract 2502.01; Harris County; Texas,6456,651,48,201,250201,48201250201,Houston
Census Tract 2502.02; Harris County; Texas,2378,707,48,201,250202,48201250202,Houston
Census Tract 2503.03; Harris County; Texas,3313,370,48,201,250303,48201250303,Houston
Census Tract 2503.04; Harris County; Texas,7593,329,48,201,250304,48201250304,Houston
Census Tract 2503.05; Harris County; Texas,5494,358,48,201,250305,48201250305,Houston
Census Tract 2503.06; Harris County; Texas,3415,417,48,201,250306,48201250306,Houston
Census Tract 2504.03; Harris County; Texas,4149,382,48,201,250403,48201250403,Houston
Census Tract 2504.04; Harris County; Texas,4825,145,48,201,250404,48201250404,Houston
Census Tract 2504.05; Harris County; Texas,10112,653,48,201,250405,48201250405,Houston
Census Tract 2504.06; Harris County; Texas,4841,68,48,201,250406,48201250406,Houston
Census Tract 2504.07; Harris County; Texas,10141,42,48,201,250407,48201250407,Houston
Census Tract 2504.08; Harris County; Texas,14195,1686,48,201,250408,48201250408,Houston
Census Tract 2505; Harris County; Texas,5514,514,48,201,250500,48201250500,Houston
Census Tract 2506.01; Harris County; Texas,2944,508,48,201,250601,48201250601,Houston
Census Tract 2506.02; Harris County; Texas,4615,1742,48,201,250602,48201250602,Houston
Census Tract 2507.01; Harris County; Texas,7274,1019,48,201,250701,48201250701,Houston
Census Tract 2507.02; Harris County; Texas,4301,421,48,201,250702,48201250702,Houston
Census Tract 2508.01; Harris County; Texas,3151,135,48,201,250801,48201250801,Houston
Census Tract 2508.02; Harris County; Texas,4593,384,48,201,250802,48201250802,Houston
Census Tract 2509.01; Harris County; Texas,4022,366,48,201,250901,48201250901,Houston
Census Tract 2509.02; Harris County; Texas,5710,19,48,201,250902,48201250902,Houston
Census Tract 2510; Harris County; Texas,3147,434,48,201,251000,48201251000,Houston
Census Tract 2511; Harris County; Texas,6912,360,48,201,251100,48201251100,Houston
Census Tract 2512; Harris County; Texas,5928,406,48,201,251200,48201251200,Houston
Census Tract 2513; Harris County; Texas,7155,263,48,201,251300,48201251300,Houston
Census Tract 2514.01; Harris County; Texas,3050,360,48,201,251401,48201251401,Houston
Census Tract 2514.02; Harris County; Texas,6631,1372,48,201,251402,48201251402,Houston
Census Tract 2515.01; Harris County; Texas,5822,6,48,201,251501,48201251501,Houston
Census Tract 2515.03; Harris County; Texas,2710,48,48,201,251503,48201251503,Houston
Census Tract 2515.04; Harris County; Texas,5303,204,48,201,251504,48201251504,Houston
Census Tract 2515.05; Harris County; Texas,4197,66,48,201,251505,48201251505,Houston
Census Tract 2516; Harris County; Texas,7187,804,48,201,251600,48201251600,Houston
Census Tract 2517.01; Harris County; Texas,3464,696,48,201,251701,48201251701,Houston
Census Tract 2517.02; Harris County; Texas,3594,580,48,201,251702,48201251702,Houston
Census Tract 2518; Harris County; Texas,1731,161,48,201,251800,48201251800,Houston
Census Tract 2519.02; Harris County; Texas,7631,342,48,201,251902,48201251902,Houston
Census Tract 2519.03; Harris County; Texas,4174,98,48,201,251903,48201251903,Houston
Census Tract 2519.04; Harris County; Texas,7100,347,48,201,251904,48201251904,Houston
Census Tract 2520.01; Harris County; Texas,8216,502,48,201,252001,48201252001,Houston
