GEOID,total_population,lst_c,hi_c,quadrant,city,lst_median_city,hi_median_city
48201530800,4077,44.77870186771376,34.06943130034954,Low LST + Low HI,Houston,48.352145765360696,34.182124562548104
48201531700,3968,48.15708248099782,34.06943130034954,Low LST + Low HI,Houston,48.352145765360696,34.182124562548104
48201531800,2913,43.53478522917891,34.06943130034954,Low LST + Low HI,Houston,48.352145765360696,34.182124562548104
48201531900,6106,46.28262537840651,34.06943130034954,Low LST + Low HI,Houston,48.352145765360696,34.182124562548104
48201510100,2857,49.341521106962944,34.171944709656074,High LST + Low HI,Houston,48.352145765360696,34.182124562548104
48201510400,3580,48.594428924221816,34.171944709656074,High LST + Low HI,Houston,48.352145765360696,34.182124562548104
48201510500,5021,49.524874253625754,34.19809785111112,High LST + High HI,Houston,48.352145765360696,34.182124562548104
48201250701,7287,36.93330052498612,33.80516410259068,Low LST + Low HI,Houston,48.352145765360696,34.182124562548104
48201251503,2758,43.53664744141238,33.932678593872126,Low LST + Low HI,Houston,48.352145765360696,34.182124562548104
48201251402,6652,44.02795874161352,33.80516410259068,Low LST + Low HI,Houston,48.352145765360696,34.182124562548104
48201511001,3012,49.65927585514269,34.13376457573033,High LST + Low HI,Houston,48.352145765360696,34.182124562548104
48201522302,3436,50.21236412737544,34.182124562548104,High LST + High HI,Houston,48.352145765360696,34.182124562548104
48201522202,4483,45.89991302000002,34.075192871938214,Low LST + Low HI,Houston,48.352145765360696,34.182124562548104
48201522301,3816,49.59593053017425,34.182124562548104,High LST + High HI,Houston,48.352145765360696,34.182124562548104
48201522201,5317,48.27734300666845,34.075192871938214,Low LST + Low HI,Houston,48.352145765360696,34.182124562548104
48201333903,4058,48.43440876779077,34.175943089573586,High LST + Low HI,Houston,48.352145765360696,34.182124562548104
48201221701,5238,45.93196847477856,34.06312454115072,Low LST + Low HI,Houston,48.352145765360696,34.182124562548104
48201330801,5741,47.05923694571943,34.18305435169938,Low LST + High HI,Houston,48.352145765360696,34.182124562548104
48201333502,2539,48.2707759836364,34.175943089573586,Low LST + Low HI,Houston,48.352145765360696,34.182124562548104
48201321102,3770,47.843309190559154,34.175943089573586,Low LST + Low HI,Houston,48.352145765360696,34.182124562548104
48201321002,5077,48.15710263867084,34.175943089573586,Low LST + Low HI,Houston,48.352145765360696,34.182124562548104
48201221301,4057,46.40493306464736,34.06312454115072,Low LST + Low HI,Houston,48.352145765360696,34.182124562548104
48201552603,5671,50.34028931374814,34.00160875013897,High LST + Low HI,Houston,48.352145765360696,34.182124562548104
48201532101,4116,49.53130291850002,34.06943130034954,High LST + Low HI,Houston,48.352145765360696,34.182124562548104
48201540101,6680,38.56216418991046,34.075192871938214,Low LST + Low HI,Houston,48.352145765360696,34.182124562548104
48201522002,3303,48.21511892000002,34.075192871938214,Low LST + Low HI,Houston,48.352145765360696,34.182124562548104
48201330302,5073,46.81340538243778,34.189995108284705,Low LST + High HI,Houston,48.352145765360696,34.182124562548104
48201333201,4533,50.59562796505502,34.175943089573586,High LST + Low HI,Houston,48.352145765360696,34.182124562548104
48201340301,3420,45.53345244714288,34.30535637413309,Low LST + High HI,Houston,48.352145765360696,34.182124562548104
48201310700,3664,49.91135387692309,34.171944709656074,High LST + Low HI,Houston,48.352145765360696,34.182124562548104
48201532600,6984,48.90587172000002,34.06943130034954,High LST + Low HI,Houston,48.352145765360696,34.182124562548104
48201311800,3972,49.56060070264196,34.171944709656074,High LST + Low HI,Houston,48.352145765360696,34.182124562548104
48201311900,1497,50.77260396334975,34.171944709656074,High LST + Low HI,Houston,48.352145765360696,34.182124562548104
48201312000,3412,49.59486749673926,34.171944709656074,High LST + Low HI,Houston,48.352145765360696,34.182124562548104
48201222300,4987,39.59581982512465,34.06312454115072,Low LST + Low HI,Houston,48.352145765360696,34.182124562548104
48201211900,4601,48.325852715000025,34.17576813984061,Low LST + Low HI,Houston,48.352145765360696,34.182124562548104
48201454600,5830,50.2782276574015,34.18258016559219,High LST + High HI,Houston,48.352145765360696,34.182124562548104
48201532502,5786,48.2884376032143,34.07231208614388,Low LST + Low HI,Houston,48.352145765360696,34.182124562548104
48201332600,6605,49.18435655512457,34.18305435169938,High LST + High HI,Houston,48.352145765360696,34.182124562548104
48201220400,4544,47.78206498090867,34.06312454115072,Low LST + Low HI,Houston,48.352145765360696,34.182124562548104
48201220500,3671,49.27699950470514,34.06312454115072,High LST + Low HI,Houston,48.352145765360696,34.182124562548104
48201220600,3252,46.96904541478901,34.06312454115072,Low LST + Low HI,Houston,48.352145765360696,34.182124562548104
48201230100,1661,46.34113324824053,34.06312454115072,Low LST + Low HI,Houston,48.352145765360696,34.182124562548104
48201230200,4857,44.93234449168688,34.06312454115072,Low LST + Low HI,Houston,48.352145765360696,34.182124562548104
48201230500,3487,45.65401057670237,34.06312454115072,Low LST + Low HI,Houston,48.352145765360696,34.182124562548104
48201230600,2708,45.717411478650995,34.06312454115072,Low LST + Low HI,Houston,48.352145765360696,34.182124562548104
48201230700,2934,43.93968946702093,34.06312454115072,Low LST + Low HI,Houston,48.352145765360696,34.182124562548104
