ALAND,AWATER,COUNTYFP,GEOID,NAME,NAMELSAD,STATEFP,TRACTCE,area_km2,below_poverty_count,below_poverty_count_clean,city,high_poverty_flag,inequity_group,low_income_flag,hi_summer_mean_c,hi_summer_median_c,median_household_income,median_household_income_clean,poverty_rate,poverty_universe,poverty_universe_clean,total_population,total_population_clean
1413808,0,013,04013618300,6183,Census Tract 6183,04,618300,1.4130726997004255,391,391,Phoenix,True,High income + High poverty,False,32.62849711203191,32.62849711203191,89356,89356.0,0.13618948101706724,2871,2871,2871,2871
2581154,0,013,04013116605,1166.05,Census Tract 1166.05,04,116605,2.579830757704469,491,491,Phoenix,False,High income + Low poverty,False,33.69158270386449,33.69158270386449,91645,91645.0,0.06873862522749545,7143,7143,7143,7143
2577696,0,013,04013116606,1166.06,Census Tract 1166.06,04,116606,2.576351138452719,1090,1090,Phoenix,True,High income + High poverty,False,33.69158270386449,33.69158270386449,80288,80288.0,0.17563648082500805,6206,6206,6228,6228
10023639,1855,013,04013613000,6130,Census Tract 6130,04,613000,10.019422931056551,265,265,Phoenix,False,High income + Low poverty,False,31.306490363261293,31.306490363261293,171755,171755.0,0.04347112860892388,6096,6096,6096,6096
326530,0,013,04013619100,6191,Census Tract 6191,04,619100,0.32634785680480555,477,477,Phoenix,True,Low income + High poverty,True,32.705018891501915,32.705018891501915,44509,44509.0,0.13497453310696095,3534,3534,3538,3538
56240857,33838,013,04013611300,6113,Census Tract 6113,04,611300,56.245608221170784,220,220,Phoenix,False,High income + Low poverty,False,32.305300288094635,32.30897859005257,131135,131135.0,0.030872859949480774,7126,7126,7143,7143
1594700,10062,013,04013117100,1171,Census Tract 1171,04,117100,1.603872726936798,336,336,Phoenix,False,High income + Low poverty,False,,,77875,77875.0,0.11991434689507495,2802,2802,3029,3029
8067812,100686,013,04013117300,1173,Census Tract 1173,04,117300,8.164128476749225,717,717,Phoenix,True,Low income + High poverty,True,33.806902767508106,33.806902767508106,40833,40833.0,0.3140604467805519,2283,2283,2283,2283
2583291,722,013,04013116607,1166.07,Census Tract 1166.07,04,116607,2.5826440753871975,299,299,Phoenix,False,High income + Low poverty,False,33.7492427356863,33.749242735686295,103516,103516.0,0.07259043457149794,4119,4119,4119,4119
5052608,103256,013,04013116610,1166.10,Census Tract 1166.10,04,116610,5.153198560234445,660,660,Phoenix,False,High income + Low poverty,False,33.69158270386449,33.69158270386449,115415,115415.0,0.0908590308370044,7264,7264,7271,7271
6780072,0,013,04013116732,1167.32,Census Tract 1167.32,04,116732,6.776412784663228,1000,1000,Phoenix,True,High income + High poverty,False,33.68871718595393,33.68871718595393,82109,82109.0,0.23730422401518747,4214,4214,4214,4214
1309393,0,013,04013112301,1123.01,Census Tract 1123.01,04,112301,1.308720589384661,881,881,Phoenix,True,Low income + High poverty,True,33.806902767508106,33.806902767508106,49849,49849.0,0.15816876122082585,5570,5570,5674,5674
1299463,0,013,04013112402,1124.02,Census Tract 1124.02,04,112402,1.2988115487228742,1616,1616,Phoenix,True,High income + High poverty,False,33.806902767508106,33.806902767508106,76779,76779.0,0.27857265988622654,5801,5801,5801,5801
1280712,0,013,04013082028,820.28,Census Tract 820.28,04,082028,1.2801164710183086,904,904,Phoenix,True,Low income + High poverty,True,34.18679044946821,34.18679044946821,66151,66151.0,0.21411653244907627,4222,4222,4316,4316
1234925,0,013,04013616200,6162,Census Tract 6162,04,616200,1.2342886125853394,282,282,Phoenix,False,High income + Low poverty,False,32.62849711203191,32.62849711203191,105687,105687.0,0.07715458276333789,3655,3655,3662,3662
3535944,0,013,04013614500,6145,Census Tract 6145,04,614500,3.534057226413589,551,551,Phoenix,False,High income + Low poverty,False,32.62849711203191,32.62849711203191,78531,78531.0,0.12463243610042976,4421,4421,4426,4426
5780134,9124,013,04013614900,6149,Census Tract 6149,04,614900,5.785972411206707,262,262,Phoenix,False,High income + Low poverty,False,32.705018891501915,32.705018891501915,98750,98750.0,0.0703166935050993,3726,3726,3863,3863
3470130,0,013,04013116703,1167.03,Census Tract 1167.03,04,116703,3.4681882510553903,332,332,Phoenix,False,High income + Low poverty,False,33.68585166804336,33.68585166804336,115712,115712.0,0.06585994842293195,5041,5041,5272,5272
2654771,0,013,04013111800,1118,Census Tract 1118,04,111800,2.6532986406464962,579,579,Phoenix,False,High income + Low poverty,False,33.55384219869438,33.55384219869438,96622,96622.0,0.12929879410451095,4478,4478,4478,4478
1453063,0,013,04013112201,1122.01,Census Tract 1122.01,04,112201,1.452300830189419,473,473,Phoenix,False,Low income + Low poverty,True,33.806902767508106,33.806902767508106,57052,57052.0,0.10796621775850263,4381,4381,4427,4427
1136730,0,013,04013112202,1122.02,Census Tract 1122.02,04,112202,1.136140888996785,863,863,Phoenix,True,Low income + High poverty,True,33.806902767508106,33.806902767508106,46174,46174.0,0.20102492429536456,4293,4293,4405,4405
7958832,0,013,04013116203,1162.03,Census Tract 1162.03,04,116203,7.954194429847355,1392,1392,Phoenix,True,High income + High poverty,False,33.68703332070792,33.68585166804336,88385,88385.0,0.20318201722376295,6851,6851,6851,6851
2565914,0,013,04013116204,1162.04,Census Tract 1162.04,04,116204,2.564399458145085,926,926,Phoenix,True,Low income + High poverty,True,33.77745095843168,33.77745095843168,61203,61203.0,0.2256335282651072,4104,4104,4239,4239
1155445,0,013,04013116205,1162.05,Census Tract 1162.05,04,116205,1.1547634154657138,347,347,Phoenix,False,Low income + Low poverty,True,33.87067866933084,33.87067866933084,60951,60951.0,0.09216467463479415,3765,3765,3765,3765
2687782,0,013,04013116300,1163,Census Tract 1163,04,116300,2.6862469491128045,1052,1052,Phoenix,True,Low income + High poverty,True,33.68585166804336,33.68585166804336,64867,64867.0,0.17785291631445477,5915,5915,6013,6013
2625229,0,013,04013116400,1164,Census Tract 1164,04,116400,2.623751260858788,1767,1767,Phoenix,True,High income + High poverty,False,33.68585166804336,33.68585166804336,90840,90840.0,0.3010221465076661,5870,5870,5870,5870
1000964,79805,013,04013104302,1043.02,Census Tract 1043.02,04,104302,1.080192809492269,825,825,Phoenix,True,Low income + High poverty,True,33.30751880031277,33.30751880031277,41923,41923.0,0.21450858034321374,3846,3846,3846,3846
1486942,0,013,04013104301,1043.01,Census Tract 1043.01,04,104301,1.4861553560470893,366,366,Phoenix,False,Low income + Low poverty,True,33.30751880031277,33.30751880031277,68826,68826.0,0.09331973482916879,3922,3922,3941,3941
1313676,0,013,04013106501,1065.01,Census Tract 1065.01,04,106501,1.3129373802388693,283,283,Phoenix,False,High income + Low poverty,False,33.3082424010499,33.3082424010499,81310,81310.0,0.08526664658029527,3319,3319,3319,3319
1296657,0,013,04013110801,1108.01,Census Tract 1108.01,04,110801,1.295906292042534,816,816,Phoenix,True,Low income + High poverty,True,33.55384219869438,33.55384219869438,74982,74982.0,0.1668029435813573,4892,4892,4942,4942
