GEOID,city,area_km2,total_population_clean,median_household_income_clean,poverty_rate,inequity_group
04013612401,Phoenix,3.4596676057731264,4196,118125.0,0.06887511916110582,High income + Low poverty
04013112700,Phoenix,2.630811705496462,7563,54845.0,0.2550655542312277,Low income + High poverty
04013116734,Phoenix,0.9214327231724894,1488,107984.0,0.22311827956989247,High income + High poverty
04013112520,Phoenix,1.2874583905852341,4415,80515.0,0.24303510758776897,High income + High poverty
04013112507,Phoenix,1.2455662314458484,2954,42097.0,0.25186188219363576,Low income + High poverty
04013112508,Phoenix,1.944108769470336,2563,70469.0,0.13070620366757707,Low income + High poverty
04013112601,Phoenix,0.7206776696097495,3286,30735.0,0.4344086021505376,Low income + High poverty
04013112602,Phoenix,1.8795203201517041,8475,47188.0,0.40182702574445367,Low income + High poverty
04013109706,Phoenix,0.627377543515203,3324,60071.0,0.2355595667870036,Low income + High poverty
04013113702,Phoenix,1.23838340647125,2389,62557.0,0.33108677337826453,Low income + High poverty
04013981000,Phoenix,0.6431788576049975,696,,1.0,Missing
04013116736,Phoenix,1.3263608857997313,3387,60528.0,0.21868300153139356,Low income + High poverty
04013112516,Phoenix,5.156076183365177,4476,61401.0,0.10192221725525256,Low income + Low poverty
04013112517,Phoenix,2.5667464201679633,5106,80568.0,0.1745005875440658,High income + High poverty
04013116616,Phoenix,2.591707515869107,5103,89884.0,0.09817754262198707,High income + Low poverty
04013116738,Phoenix,5.3069192397800995,6603,106586.0,0.027474195506982393,High income + Low poverty
04013116617,Phoenix,5.123995795316133,3685,71736.0,0.09557426011403747,Low income + Low poverty
04013116735,Phoenix,1.2932509398182597,2988,56392.0,0.19410977242302543,Low income + High poverty
04013116737,Phoenix,3.1614091945471623,3540,124330.0,0.06294502990600968,High income + Low poverty
04013116615,Phoenix,1.28456661360038,4005,54309.0,0.2805305305305305,Low income + High poverty
04013116614,Phoenix,1.2933345996572818,3619,59829.0,0.11417432470064048,Low income + Low poverty
04013610002,Phoenix,227.2043715019183,6753,127105.0,0.07631814119749776,High income + Low poverty
04013115400,Phoenix,2.587675543583738,1706,45000.0,0.35345838218053927,Low income + High poverty
04013104202,Phoenix,2.5770081635380784,4995,101731.0,0.06718812675491376,High income + Low poverty
04013112302,Phoenix,1.2844426820404324,6865,60224.0,0.2901675163874727,Low income + High poverty
04013103608,Phoenix,2.46161412710385,4338,79427.0,0.05347222222222222,High income + Low poverty
04013107101,Phoenix,1.251655994513143,4950,90117.0,0.23416312487350738,High income + High poverty
04013104226,Phoenix,2.557514203193795,4516,62879.0,0.19295525033229952,Low income + High poverty
04013114301,Phoenix,1.3270444518124058,911,50457.0,0.41787709497206704,Low income + High poverty
04013104207,Phoenix,2.6482704290290635,4402,79947.0,0.060654248069059516,High income + Low poverty
04013612700,Phoenix,2.2989852600760385,2223,124423.0,0.05090909090909091,High income + Low poverty
04013108501,Phoenix,1.294950441432021,2723,72750.0,0.06463459419757621,Low income + Low poverty
04013112900,Phoenix,2.600033440735773,4517,58250.0,0.21022093282749385,Low income + High poverty
04013113000,Phoenix,1.273642704217292,4262,88765.0,0.1537015276145711,High income + High poverty
04013113202,Phoenix,0.6744789385871064,2087,50857.0,0.37565884044082415,Low income + High poverty
04013113601,Phoenix,1.6545422475568974,4299,55592.0,0.22679692951849267,Low income + High poverty
04013611700,Phoenix,7.542628933575189,6290,127235.0,0.027773343974461292,High income + Low poverty
04013611800,Phoenix,2.5757971650555644,7057,115171.0,0.02026356808842284,High income + Low poverty
04013612600,Phoenix,1.3263079134091547,2151,91047.0,0.01813110181311018,High income + Low poverty
04013613300,Phoenix,37.82160890524344,7284,132025.0,0.04539826661163846,High income + Low poverty
04013106002,Phoenix,0.9421384591862179,2864,45822.0,0.2188058634250983,Low income + High poverty
04013106003,Phoenix,0.940626106892391,3856,67716.0,0.21217712177121772,Low income + High poverty
04013106502,Phoenix,1.3086966825670923,3875,76434.0,0.06193548387096774,High income + Low poverty
04013106701,Phoenix,0.633313294609895,4322,42109.0,0.2667746413697362,Low income + High poverty
