STATEFP,COUNTYFP,TRACTCE,GEOID,NAME,NAMELSAD,ALAND,AWATER,area_km2,city,total_population,median_household_income,total_population_clean,median_household_income_clean,poverty_universe,below_poverty_count,poverty_universe_clean,below_poverty_count_clean,poverty_rate,low_income_flag,high_poverty_flag,inequity_group,A00,A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22,A23,A24,A25,A26,A27,A28,A29,A30,A31,A32,A33,A34,A35,A36,A37,A38,A39,A40,A41,A42,A43,A44,A45,A46,A47,A48,A49,A50,A51,A52,A53,A54,A55,A56,A57,A58,A59,A60,A61,A62,A63,n_nonnull_embed
04,013,112302,04013112302,1123.02,Census Tract 1123.02,1285101,0,1.2844426820404324,Phoenix,6865,60224,6865,60224.0,6865,1992,6865,1992,0.2901675163874727,True,True,Low income + High poverty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
04,013,103608,04013103608,1036.08,Census Tract 1036.08,2462945,0,2.46161412710385,Phoenix,4338,79427,4338,79427.0,4320,231,4320,231,0.05347222222222222,False,False,High income + Low poverty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
04,013,107101,04013107101,1071.01,Census Tract 1071.01,1252311,0,1.251655994513143,Phoenix,4950,90117,4950,90117.0,4941,1157,4941,1157,0.23416312487350738,False,True,High income + High poverty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
04,013,104226,04013104226,1042.26,Census Tract 1042.26,2558853,0,2.557514203193795,Phoenix,4516,62879,4516,62879.0,4514,871,4514,871,0.19295525033229952,True,True,Low income + High poverty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
04,013,114301,04013114301,1143.01,Census Tract 1143.01,1327769,0,1.3270444518124058,Phoenix,911,50457,911,50457.0,895,374,895,374,0.41787709497206704,True,True,Low income + High poverty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
04,013,104207,04013104207,1042.07,Census Tract 1042.07,2649677,0,2.6482704290290635,Phoenix,4402,79947,4402,79947.0,4402,267,4402,267,0.060654248069059516,False,False,High income + Low poverty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
04,013,612700,04013612700,6127,Census Tract 6127,2293572,6787,2.2989852600760385,Phoenix,2223,124423,2223,124423.0,2200,112,2200,112,0.05090909090909091,False,False,High income + Low poverty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
04,013,108501,04013108501,1085.01,Census Tract 1085.01,1295691,0,1.294950441432021,Phoenix,2723,72750,2723,72750.0,2723,176,2723,176,0.06463459419757621,True,False,Low income + Low poverty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
04,013,112900,04013112900,1129,Census Tract 1129,2601457,0,2.600033440735773,Phoenix,4517,58250,4517,58250.0,4481,942,4481,942,0.21022093282749385,True,True,Low income + High poverty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
04,013,113000,04013113000,1130,Census Tract 1130,1274354,0,1.273642704217292,Phoenix,4262,88765,4262,88765.0,4255,654,4255,654,0.1537015276145711,False,True,High income + High poverty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
04,013,113202,04013113202,1132.02,Census Tract 1132.02,674857,0,0.6744789385871064,Phoenix,2087,50857,2087,50857.0,2087,784,2087,784,0.37565884044082415,True,True,Low income + High poverty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
04,013,113601,04013113601,1136.01,Census Tract 1136.01,1638754,16756,1.6545422475568974,Phoenix,4299,55592,4299,55592.0,4299,975,4299,975,0.22679692951849267,True,True,Low income + High poverty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
