GEOID,NAME,total_population,median_household_income,below_poverty_count,poverty_universe,poverty_rate
32003003246,Census Tract 32.46; Clark County; Nevada,4286,79964.0,194,4273,0.0454013573601685
32003003247,Census Tract 32.47; Clark County; Nevada,3874,103036.0,244,3874,0.06298399586990192
32003003248,Census Tract 32.48; Clark County; Nevada,3655,52311.0,601,3613,0.16634375864932188
32003003249,Census Tract 32.49; Clark County; Nevada,3909,136042.0,308,3909,0.07879253005883857
32003003250,Census Tract 32.50; Clark County; Nevada,4730,103462.0,327,4710,0.06942675159235669
32003003251,Census Tract 32.51; Clark County; Nevada,2389,123640.0,60,2389,0.025115110925073254
32003003252,Census Tract 32.52; Clark County; Nevada,4417,121232.0,248,4392,0.056466302367941715
32003003253,Census Tract 32.53; Clark County; Nevada,4547,62000.0,1177,4547,0.2588519903232901
32003003254,Census Tract 32.54; Clark County; Nevada,4304,54971.0,486,4304,0.1129182156133829
32003003260,Census Tract 32.60; Clark County; Nevada,4100,71762.0,689,4100,0.1680487804878049
32003003261,Census Tract 32.61; Clark County; Nevada,2548,62246.0,344,2528,0.1360759493670886
32003003262,Census Tract 32.62; Clark County; Nevada,2645,64462.0,190,2645,0.07183364839319471
32003003263,Census Tract 32.63; Clark County; Nevada,4966,97500.0,342,4966,0.06886830447039871
32003003264,Census Tract 32.64; Clark County; Nevada,6691,111023.0,205,6691,0.030638170677028845
32003003265,Census Tract 32.65; Clark County; Nevada,9444,114344.0,541,9390,0.05761448349307774
32003003266,Census Tract 32.66; Clark County; Nevada,5330,76702.0,481,5330,0.09024390243902439
32003003267,Census Tract 32.67; Clark County; Nevada,4526,181964.0,138,4468,0.03088630259623993
32003003268,Census Tract 32.68; Clark County; Nevada,4071,150522.0,214,4071,0.052566936870547774
32003003269,Census Tract 32.69; Clark County; Nevada,2643,84184.0,189,2643,0.07150964812712826
32003003270,Census Tract 32.70; Clark County; Nevada,3240,69804.0,335,3220,0.10403726708074534
32003003303,Census Tract 33.03; Clark County; Nevada,5570,75795.0,1108,5556,0.1994240460763139
32003003305,Census Tract 33.05; Clark County; Nevada,5876,79971.0,301,5876,0.05122532334921715
32003003306,Census Tract 33.06; Clark County; Nevada,4224,90056.0,238,4224,0.05634469696969697
32003003307,Census Tract 33.07; Clark County; Nevada,5913,85306.0,591,5913,0.09994926433282597
32003003308,Census Tract 33.08; Clark County; Nevada,2874,120000.0,77,2854,0.02697967764540995
32003003309,Census Tract 33.09; Clark County; Nevada,4541,107488.0,153,4471,0.034220532319391636
32003003311,Census Tract 33.11; Clark County; Nevada,3009,93178.0,128,3009,0.042539049518112326
32003003312,Census Tract 33.12; Clark County; Nevada,4702,157313.0,42,4702,0.00893236920459379
32003003313,Census Tract 33.13; Clark County; Nevada,3800,112702.0,147,3755,0.03914780292942743
32003003314,Census Tract 33.14; Clark County; Nevada,7959,123945.0,241,7959,0.030280185953009173
32003003315,Census Tract 33.15; Clark County; Nevada,3269,96906.0,286,3248,0.08805418719211823
32003003316,Census Tract 33.16; Clark County; Nevada,6574,118312.0,954,6562,0.14538250533373973
32003003317,Census Tract 33.17; Clark County; Nevada,3009,84375.0,155,3009,0.051512130275839146
32003003318,Census Tract 33.18; Clark County; Nevada,6278,97360.0,454,6241,0.07274475244351866
32003003319,Census Tract 33.19; Clark County; Nevada,5426,107426.0,201,5384,0.037332838038632986
32003003320,Census Tract 33.20; Clark County; Nevada,7019,73216.0,935,6884,0.13582219639744333
32003003321,Census Tract 33.21; Clark County; Nevada,2630,178512.0,54,2630,0.02053231939163498
32003003322,Census Tract 33.22; Clark County; Nevada,4290,149539.0,410,4266,0.09610876699484294
32003003323,Census Tract 33.23; Clark County; Nevada,1528,111250.0,113,1528,0.07395287958115183
32003003408,Census Tract 34.08; Clark County; Nevada,4828,78417.0,317,4794,0.06612432206925323
32003003409,Census Tract 34.09; Clark County; Nevada,5388,71188.0,510,5365,0.09506057781919851
32003003410,Census Tract 34.10; Clark County; Nevada,5217,83594.0,238,5186,0.045892788276128034
32003003411,Census Tract 34.11; Clark County; Nevada,3514,61203.0,371,3372,0.11002372479240807
32003003412,Census Tract 34.12; Clark County; Nevada,4889,62588.0,598,4889,0.12231540192268357
32003003413,Census Tract 34.13; Clark County; Nevada,5791,58249.0,1238,5761,0.21489324770005208
32003003414,Census Tract 34.14; Clark County; Nevada,2825,115268.0,231,2684,0.0860655737704918
32003003415,Census Tract 34.15; Clark County; Nevada,7571,51875.0,1790,7571,0.2364284770836085
32003003416,Census Tract 34.16; Clark County; Nevada,3244,77604.0,395,3070,0.12866449511400652
32003003418,Census Tract 34.18; Clark County; Nevada,3913,46767.0,730,3833,0.19045134359509522
32003003419,Census Tract 34.19; Clark County; Nevada,5578,44861.0,1619,5459,0.29657446418758016
32003003420,Census Tract 34.20; Clark County; Nevada,4711,62714.0,679,4676,0.14520958083832336
32003003421,Census Tract 34.21; Clark County; Nevada,3658,79653.0,280,3596,0.0778642936596218
32003003422,Census Tract 34.22; Clark County; Nevada,6282,58826.0,1724,6275,0.2747410358565737
32003003423,Census Tract 34.23; Clark County; Nevada,6446,55702.0,1131,6370,0.17755102040816326
32003003426,Census Tract 34.26; Clark County; Nevada,2748,59271.0,264,2748,0.09606986899563319
32003003427,Census Tract 34.27; Clark County; Nevada,4255,50063.0,1006,4255,0.236427732079906
32003003428,Census Tract 34.28; Clark County; Nevada,1954,49784.0,502,1954,0.2569089048106448
32003003429,Census Tract 34.29; Clark County; Nevada,5541,51548.0,1544,5524,0.279507603186097
32003003430,Census Tract 34.30; Clark County; Nevada,3085,35000.0,707,3085,0.22917341977309563
32003003431,Census Tract 34.31; Clark County; Nevada,3239,42241.0,598,3128,0.19117647058823528
32003003500,Census Tract 35; Clark County; Nevada,2503,38558.0,795,2503,0.31761885737115464
