GEOID,STATEFP,COUNTYFP,TRACTCE,NAME,NAMELSAD,area_km2,GEOIDFQ,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,acs_name,total_population,median_household_income,below_poverty_count,poverty_universe,poverty_rate,city,centroid_lon,centroid_lat,lst_c,air_temp_c,rh_pct,hi_c,hi_minus_lst,has_heat_data,has_alphaearth_embedding,has_pc_scores
32003002974,32,003,002974,29.74,Census Tract 29.74,4.740357540537478,1400000US32003002974,G5020,S,4741314,0,+36.0795179,-115.2700757,Census Tract 29.74; Clark County; Nevada,7432,73629.0,948,7432,0.127556512378902,las_vegas,-115.27007566446268,36.07951793520915,,,,,,False,False,False
32003002975,32,003,002975,29.75,Census Tract 29.75,4.625556509418039,1400000US32003002975,G5020,S,4626433,0,+36.0796260,-115.2517736,Census Tract 29.75; Clark County; Nevada,6461,88993.0,709,6461,0.1097353350874477,las_vegas,-115.25177358621586,36.07962595873209,,,,,,False,False,False
32003005351,32,003,005351,53.51,Census Tract 53.51,1.8791203676183614,1400000US32003005351,G5020,S,1879259,0,+36.0003629,-115.0936620,Census Tract 53.51; Clark County; Nevada,5415,89896.0,973,5403,0.1800851378863594,las_vegas,-115.09366201272636,36.00036295536564,,,,,,False,False,False
32003005350,32,003,005350,53.50,Census Tract 53.50,1.8330248823285593,1400000US32003005350,G5020,S,1833148,0,+36.0139704,-115.0884941,Census Tract 53.50; Clark County; Nevada,3723,112419.0,188,3723,0.0504969110932044,las_vegas,-115.08849410607691,36.01397041592119,,,,,,False,False,False
32003004925,32,003,004925,49.25,Census Tract 49.25,1.043988598945861,1400000US32003004925,G5020,S,1044024,0,+36.1507473,-115.0392197,Census Tract 49.25; Clark County; Nevada,5642,71410.0,828,5642,0.1467564693371145,las_vegas,-115.03921970613676,36.15074734118274,,,,,,False,False,False
32003005607,32,003,005607,56.07,Census Tract 56.07,2.611261250898023,1400000US32003005607,G5020,S,2577919,31061,+36.8027717,-114.0821575,Census Tract 56.07; Clark County; Nevada,4521,59419.0,1065,4521,0.2355673523556735,las_vegas,-114.07973612425803,36.80142410978725,,,,,,False,False,False
32003005871,32,003,005871,58.71,Census Tract 58.71,0.681009784709354,1400000US32003005871,G5020,S,681163,0,+36.0813792,-115.3021503,Census Tract 58.71; Clark County; Nevada,1842,75313.0,101,1842,0.0548317046688382,las_vegas,-115.30215031396678,36.08137919472812,,,,,,False,False,False
32003003645,32,003,003645,36.45,Census Tract 36.45,1.3117600036147885,1400000US32003003645,G5020,S,1311957,0,+36.2247504,-115.1933379,Census Tract 36.45; Clark County; Nevada,4482,80388.0,231,4482,0.0515394912985274,las_vegas,-115.19333792291336,36.22475039562765,,,,,,False,False,False
32003003263,32,003,003263,32.63,Census Tract 32.63,1.4830926756009626,1400000US32003003263,G5020,S,1483433,0,+36.3011799,-115.3080946,Census Tract 32.63; Clark County; Nevada,4966,97500.0,342,4966,0.0688683044703987,las_vegas,-115.30809454805559,36.30117994373426,,,,,,False,False,False
32003003269,32,003,003269,32.69,Census Tract 32.69,1.5343119586711944,1400000US32003003269,G5020,S,1534678,0,+36.2371672,-115.3192045,Census Tract 32.69; Clark County; Nevada,2643,84184.0,189,2643,0.0715096481271282,las_vegas,-115.31920452111926,36.23716724103149,,,,,,False,False,False
32003005719,32,003,005719,57.19,Census Tract 57.19,3.0292086564684575,1400000US32003005719,G5020,S,3029475,0,+35.9282411,-115.1149865,Census Tract 57.19; Clark County; Nevada,4780,121962.0,439,4780,0.0918410041841004,las_vegas,-115.11498647922892,35.92824109181023,,,,,,False,False,False
32003003648,32,003,003648,36.48,Census Tract 36.48,3.956584879033688,1400000US32003003648,G5020,S,3956881,0,+36.2797964,-115.0893054,Census Tract 36.48; Clark County; Nevada,4708,90978.0,408,4708,0.086661002548853,las_vegas,-115.08930541825227,36.27979636961278,,,,,,False,False,False
32003005872,32,003,005872,58.72,Census Tract 58.72,335.47889372871396,1400000US32003005872,G5020,S,335586834,0,+36.2137603,-115.4517817,Census Tract 58.72; Clark County; Nevada,9261,168951.0,442,9261,0.047727027318864,las_vegas,-115.4517781239717,36.21376152340566,,,,,,False,False,False
32003003654,32,003,003654,36.54,Census Tract 36.54,0.814807932421931,1400000US32003003654,G5020,S,814911,0,+36.2586895,-115.1610922,Census Tract 36.54; Clark County; Nevada,3580,109811.0,160,3580,0.0446927374301676,las_vegas,-115.16109220703882,36.25868948273892,,,,,,False,False,False
32003003652,32,003,003652,36.52,Census Tract 36.52,1.3308519844652356,1400000US32003003652,G5020,S,1330990,0,+36.2688344,-115.1303695,Census Tract 36.52; Clark County; Nevada,4968,84798.0,68,4968,0.0136876006441223,las_vegas,-115.13036953340163,36.26883441137344,,,,,,False,False,False
32003005859,32,003,005859,58.59,Census Tract 58.59,0.7128412403633455,1400000US32003005859,G5020,S,712991,0,+36.0591511,-115.2856053,Census Tract 58.59; Clark County; Nevada,3476,65575.0,326,3446,0.0946024376088218,las_vegas,-115.28560525830144,36.05915110881849,,,,,,False,False,False
32003002852,32,003,002852,28.52,Census Tract 28.52,0.8672663067960525,1400000US32003002852,G5020,S,867369,0,+35.9930398,-115.1561673,Census Tract 28.52; Clark County; Nevada,1161,105944.0,0,1161,0.0,las_vegas,-115.1561672568504,35.993039853323616,,,,,,False,False,False
32003005111,32,003,005111,51.11,Census Tract 51.11,2.054470216116005,1400000US32003005111,G5020,S,2054557,0,+36.0742234,-115.0516618,Census Tract 51.11; Clark County; Nevada,6053,68636.0,504,6053,0.0832644969436642,las_vegas,-115.05166179161354,36.074223388987434,,,,,,False,False,False
32003005116,32,003,005116,51.16,Census Tract 51.16,1.668684368508059,1400000US32003005116,G5020,S,1668736,0,+36.0510630,-115.0362855,Census Tract 51.16; Clark County; Nevada,5262,81667.0,642,5262,0.1220068415051311,las_vegas,-115.03628552812178,36.051062963775124,,,,,,False,False,False
32003003646,32,003,003646,36.46,Census Tract 36.46,1.4150943224657715,1400000US32003003646,G5020,S,1415317,0,+36.2245555,-115.2026616,Census Tract 36.46; Clark County; Nevada,4749,77642.0,354,4749,0.0745420088439671,las_vegas,-115.20266154874211,36.22455546281202,,,,,,False,False,False
32003003655,32,003,003655,36.55,Census Tract 36.55,1.724642552688823,1400000US32003003655,G5020,S,1724866,0,+36.2519261,-115.1628572,Census Tract 36.55; Clark County; Nevada,5735,90446.0,488,5735,0.0850915431560592,las_vegas,-115.16285717821503,36.251926084280505,,,,,,False,False,False
32003005722,32,003,005722,57.22,Census Tract 57.22,3.8374286735846455,1400000US32003005722,G5020,S,3837739,0,+35.9649897,-115.1049677,Census Tract 57.22; Clark County; Nevada,3096,82065.0,170,3096,0.0549095607235142,las_vegas,-115.10496765980427,35.964989720900874,,,,,,False,False,False
32003003270,32,003,003270,32.70,Census Tract 32.70,0.7603241904410258,1400000US32003003270,G5020,S,760510,0,+36.2263428,-115.3285366,Census Tract 32.70; Clark County; Nevada,3240,69804.0,335,3220,0.1040372670807453,las_vegas,-115.32853663938926,36.22634280279067,,,,,,False,False,False
32003003665,32,003,003665,36.65,Census Tract 36.65,1.2421886158205497,1400000US32003003665,G5020,S,1242383,0,+36.2684486,-115.2023142,Census Tract 36.65; Clark County; Nevada,4893,87974.0,462,4893,0.0944206008583691,las_vegas,-115.20231418582566,36.26844861016831,,,,,,False,False,False
32003003664,32,003,003664,36.64,Census Tract 36.64,1.0755940548402492,1400000US32003003664,G5020,S,1075762,0,+36.2799516,-115.2000899,Census Tract 36.64; Clark County; Nevada,3549,76439.0,328,3549,0.0924204001127078,las_vegas,-115.20008993592452,36.279951599212644,,,,,,False,False,False
32003005718,32,003,005718,57.18,Census Tract 57.18,1.0607933185945713,1400000US32003005718,G5020,S,1060878,0,+35.9355332,-115.1061794,Census Tract 57.18; Clark County; Nevada,1891,102112.0,69,1891,0.0364886303543098,las_vegas,-115.10617934159569,35.93553316323048,,,,,,False,False,False
32003003663,32,003,003663,36.63,Census Tract 36.63,1.6554104920622041,1400000US32003003663,G5020,S,1655671,0,+36.2917948,-115.2009637,Census Tract 36.63; Clark County; Nevada,3367,90595.0,472,3367,0.1401841401841402,las_vegas,-115.20096370037491,36.29179480595995,,,,,,False,False,False
32003003660,32,003,003660,36.60,Census Tract 36.60,1.365637265117862,1400000US32003003660,G5020,S,1365812,0,+36.2802675,-115.1621395,Census Tract 36.60; Clark County; Nevada,5307,116898.0,200,5240,0.0381679389312977,las_vegas,-115.16213943298918,36.280267528578676,,,,,,False,False,False
