GEOID,city,STATEFP,COUNTYFP,TRACTCE,NAME,NAMELSAD,ALAND,AWATER,area_km2,total_population_clean,median_household_income_clean,below_poverty_count,poverty_universe,poverty_rate,heat_source_file,notes,lst_c,air_temp_c,rh_pct,hi_c,hi_minus_lst,has_heat_data,heat_merge_status
32003002956,las_vegas,32,3,2956,29.56,Census Tract 29.56,3946357,0,3.94577194436184,2911,64764.0,433,2911,0.1487461353486774,,,47.070192616372424,33.30241402888626,17.27052660062464,31.392363162761036,-15.677829453611388,True,ok
32003002830,las_vegas,32,3,2830,28.3,Census Tract 28.30,1785696,0,1.7855043971170677,5467,66655.0,662,5467,0.1210901774282056,,,46.98079787234046,33.93488751839894,16.899388140890093,31.968054492595165,-15.012743379745295,True,ok
32003002957,las_vegas,32,3,2957,29.57,Census Tract 29.57,2663440,0,2.6629185219607225,2403,135833.0,385,2403,0.1602163961714523,,,45.2033426547353,32.73324063066096,17.15745094530203,30.816047771731157,-14.387294883004145,True,ok
32003002958,las_vegas,32,3,2958,29.58,Census Tract 29.58,1310434,0,1.3102041041839012,5394,52798.0,948,5394,0.1757508342602892,,,45.985840840840865,32.73324063066096,17.15745094530203,30.816047771731157,-15.169793069109708,True,ok
32003002822,las_vegas,32,3,2822,28.22,Census Tract 28.22,1441638,0,1.4415550362946603,3447,66250.0,444,3423,0.1297107800175284,,,48.516997690531205,34.11268558225766,16.50840054616018,32.104452955425614,-16.41254473510559,True,ok
32003002947,las_vegas,32,3,2947,29.47,Census Tract 29.47,3337436,0,3.3368432405484203,3131,115563.0,230,3131,0.0734589587991057,,,46.45133202742413,32.540011287080745,17.775461181011654,30.68612509371,-15.76520693371413,True,ok
32003002949,las_vegas,32,3,2949,29.49,Census Tract 29.49,1019990,0,1.0198079690174404,2912,52031.0,398,2782,0.1430625449317038,,,46.52145510835917,32.540011287080745,17.775461181011654,30.68612509371,-15.83533001464917,True,ok
32003002948,las_vegas,32,3,2948,29.48,Census Tract 29.48,1314223,0,1.313994382189391,3729,61591.0,466,3729,0.1249664789487798,,,47.06122088353416,32.540011287080745,17.775461181011654,30.68612509371,-16.37509578982416,True,ok
32003003001,las_vegas,32,3,3001,30.01,Census Tract 30.01,1335202,0,1.3349651759282726,3970,67446.0,789,3947,0.1998986572080061,,,47.848249042145625,32.540011287080745,17.775461181011654,30.68612509371,-17.162123948435624,True,ok
32003003003,las_vegas,32,3,3003,30.03,Census Tract 30.03,1660168,0,1.6598503430704388,5599,61179.0,429,5599,0.0766208251473477,,,46.473447185325774,32.540011287080745,17.775461181011654,30.68612509371,-15.787322091615774,True,ok
32003002835,las_vegas,32,3,2835,28.35,Census Tract 28.35,609941,0,0.6098712072939689,2398,75938.0,128,2398,0.0533778148457047,,,46.68025043177896,,,,,False,missing
32003002836,las_vegas,32,3,2836,28.36,Census Tract 28.36,611613,0,0.6115477699888296,2980,81051.0,143,2972,0.0481157469717362,,,46.90833333333336,33.93488751839894,16.899388140890093,31.968054492595165,-14.940278840738195,True,ok
32003002950,las_vegas,32,3,2950,29.5,Census Tract 29.50,1083500,0,1.0832803489593332,4968,59675.0,1062,4953,0.2144155057540884,,,45.81080040526853,,,,,False,missing
