city,path,rows,geoid_col,overlap,reason
las_vegas,/Users/yufeizhou/Desktop/heat-exposure-compare/city_intake/las_vegas/raw/tract_2025/tl_2025_32_tract.shp,779,GEOID,458,ok
las_vegas,/Users/yufeizhou/Desktop/heat-exposure-compare/data_processed/las_vegas/las_vegas_tracts_projected_statewide_backup.gpkg,779,GEOID,458,ok
las_vegas,/Users/yufeizhou/Desktop/heat-exposure-compare/data_processed/las_vegas/las_vegas_tracts_clean_statewide_backup.geojson,779,GEOID,458,ok
las_vegas,/Users/yufeizhou/Desktop/heat-exposure-compare/city_intake/las_vegas/working/las_vegas_heat_extraction_input.gpkg,535,GEOID,458,ok
las_vegas,/Users/yufeizhou/Desktop/heat-exposure-compare/city_intake/las_vegas/working/las_vegas_heat_ready_input.gpkg,535,GEOID,458,ok
las_vegas,/Users/yufeizhou/Desktop/heat-exposure-compare/city_intake/las_vegas/working/las_vegas_analysis_ready.gpkg,535,GEOID,458,ok
las_vegas,/Users/yufeizhou/Desktop/heat-exposure-compare/city_intake/las_vegas/working/las_vegas_heat_ready_input.geojson,535,GEOID,458,ok
las_vegas,/Users/yufeizhou/Desktop/heat-exposure-compare/city_intake/las_vegas/working/las_vegas_heat_extraction_input.geojson,535,GEOID,458,ok
las_vegas,/Users/yufeizhou/Desktop/heat-exposure-compare/city_intake/las_vegas/working/las_vegas_master_scaffold.csv,535,GEOID,458,ok
las_vegas,/Users/yufeizhou/Desktop/heat-exposure-compare/data_processed/las_vegas/las_vegas_tracts_projected.gpkg,535,GEOID,458,ok
las_vegas,/Users/yufeizhou/Desktop/heat-exposure-compare/data_processed/las_vegas/las_vegas_tracts_clean.geojson,535,GEOID,458,ok
las_vegas,/Users/yufeizhou/Desktop/heat-exposure-compare/city_intake/las_vegas/working/las_vegas_missing_climate_tracts.gpkg,77,GEOID,0,"geometry + geoid found, but no overlap"
las_vegas,/Users/yufeizhou/Desktop/heat-exposure-compare/city_intake/las_vegas/working/las_vegas_heat_master_template.csv,0,,0,no readable geometry
las_vegas,/Users/yufeizhou/Desktop/heat-exposure-compare/city_intake/las_vegas/working/las_vegas_lst_modis_summer2024_summary.csv,0,,0,no readable geometry
las_vegas,/Users/yufeizhou/Desktop/heat-exposure-compare/city_intake/las_vegas/working/las_vegas_master_scaffold_summary.csv,0,,0,no readable geometry
las_vegas,/Users/yufeizhou/Desktop/heat-exposure-compare/city_intake/las_vegas/working/las_vegas_acs_baseline.csv,0,,0,no readable geometry
las_vegas,/Users/yufeizhou/Desktop/heat-exposure-compare/city_intake/las_vegas/working/las_vegas_heat_master_template_before_lst_backup.csv,0,,0,no readable geometry
las_vegas,/Users/yufeizhou/Desktop/heat-exposure-compare/city_intake/las_vegas/working/las_vegas_lst_modis_summer2024.csv,0,,0,no readable geometry
las_vegas,/Users/yufeizhou/Desktop/heat-exposure-compare/city_intake/las_vegas/working/las_vegas_heat_master_template_summary.csv,0,,0,no readable geometry
