city,pc,observable,spearman_r,p_value,n
las_vegas,PC4,hi_c,0.181,0.0001,458
las_vegas,PC4,hi_minus_lst_z,0.088,0.061,458
las_vegas,PC5,lst_c,0.24,0.0,458
las_vegas,PC5,hi_c,0.212,0.0,458
las_vegas,PC5,hi_minus_lst_z,-0.052,0.2707,458
las_vegas,PC6,lst_c,-0.048,0.3015,458
las_vegas,PC6,hi_c,-0.245,0.0,458
las_vegas,PC6,hi_minus_lst_z,-0.211,0.0,458
las_vegas,PC7,lst_c,0.264,0.0,458
las_vegas,PC7,hi_c,0.141,0.0024,458
las_vegas,PC7,hi_minus_lst_z,-0.178,0.0001,458
los_angeles,PC1,lst_c,0.207,0.0,1080
los_angeles,PC1,hi_c,-0.028,0.3611,1080
los_angeles,PC1,hi_minus_lst_z,-0.227,0.0,1080
los_angeles,PC2,lst_c,0.231,0.0,1080
los_angeles,PC2,hi_c,-0.075,0.0139,1080
los_angeles,PC2,hi_minus_lst_z,-0.258,0.0,1080
los_angeles,PC3,lst_c,-0.274,0.0,1080
los_angeles,PC3,hi_c,-0.073,0.0169,1080
los_angeles,PC3,hi_minus_lst_z,0.28,0.0,1080
los_angeles,PC4,lst_c,-0.23,0.0,1080
los_angeles,PC4,hi_c,0.089,0.0034,1080
los_angeles,PC4,hi_minus_lst_z,0.282,0.0,1080
los_angeles,PC5,lst_c,-0.433,0.0,1080
los_angeles,PC5,hi_c,-0.259,0.0,1080
los_angeles,PC5,hi_minus_lst_z,0.382,0.0,1080
los_angeles,PC6,lst_c,-0.28,0.0,1080
los_angeles,PC6,hi_c,-0.396,0.0,1080
los_angeles,PC6,hi_minus_lst_z,0.211,0.0,1080
los_angeles,PC7,lst_c,-0.126,0.0,1080
los_angeles,PC7,hi_c,0.066,0.0289,1080
los_angeles,PC7,hi_minus_lst_z,0.163,0.0,1080
miami,PC1,lst_c,-0.502,0.0,125
miami,PC1,hi_c,0.236,0.0082,125
miami,PC1,hi_minus_lst_z,0.545,0.0,125
miami,PC2,lst_c,0.081,0.3672,125
miami,PC2,hi_c,-0.189,0.0346,125
miami,PC2,hi_minus_lst_z,-0.102,0.2567,125
miami,PC3,lst_c,-0.236,0.0081,125
miami,PC3,hi_c,-0.041,0.6476,125
miami,PC3,hi_minus_lst_z,0.241,0.0068,125
miami,PC4,lst_c,-0.139,0.1212,125
miami,PC4,hi_c,0.033,0.7167,125
miami,PC4,hi_minus_lst_z,0.15,0.0948,125
miami,PC5,lst_c,0.097,0.2838,125
miami,PC5,hi_c,0.257,0.0039,125
miami,PC5,hi_minus_lst_z,-0.052,0.5669,125
miami,PC6,lst_c,0.027,0.7639,125
miami,PC6,hi_c,-0.373,0.0,125
miami,PC6,hi_minus_lst_z,-0.107,0.2342,125
